URL,Title,Brand,Price,Rating,Scores,Reviews
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Redmi 12C 4GB RAM -64GB ROM PTA APPROVED OFFICIAL WARRANTY'],['Brand: RedmiMore Mobiles from Redmi'],"['Rs. 24,999']",['10 Ratings'],['4.5'],"['the reviews are: delivery was on time, but there was no mobile cover, no hand free also no screen cover found inside the box\n', 'the reviews are: good 👍\n', 'the reviews are: Everything Ok Original, Fine but Mobile is not delivered with full Safety\n', 'the reviews are: good 👍\n', 'the reviews are: \n', 'the reviews are: \n', 'the reviews are: \n', 'the reviews are: \n', 'the reviews are: \n']"
"['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4', 'https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4']","['Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING', None]","['Brand: RedmiMore Mobiles from Redmi', None]","['Rs. 50,499\nRs. 51,999-3%', None]","['110 Ratings', '1 Answered Questions']",['3.2'],"['the reviews are: phone is damaged from edges, pictures uploaded\n', 'the reviews are: Same As Described original product found in reasonable price than Market\n', 'the reviews are: I ordered phone in black color but they sent me in Green color. After doing so, he stopped seeing my msgs. Such a ridiculous customer service. I’m completely disappointed over this.\n', 'the reviews are: #11.11 Ordered grey colour but received green. Green is also a very good colour. Product is very good. The price is also very reasonable as compared to the market.\n', 'the reviews are: Same As Described original product found in reasonable price than Market\n', 'the reviews are: thanks 👍 good product 👍 colour black kaha tha but green Mila anyway so NYC colour fade\n', 'the reviews are: so beautiful so elegant just looking like a waooo😔😔😔\n', 'the reviews are: Best purchase of the year so far! great refresh rate and works seamlessly! Hope I can upgrade to the pro version.\n', 'the reviews are: Product is good and reasonable. Delayed delivery.\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Samsung A34 - 8GB/256GB - 6.6 inches Display - Android 13 - 5000mAh Battery'],['Brand: SamsungMore Mobiles from Samsung'],"['Rs. 103,499\nRs. 114,999-10%']",['80 Ratings'],['4.9'],"['the reviews are: #11.11 its my Best Purchase of 11 11 sale on Daraz .. Got a huge Discount of 12k From Daraz and HBL .. Box Pack .. Official PTA Approved .. Genuine Samsung Device .. Honestly i am really Greatful to Daraz for their efforts .. Delivering such Quality Services and Affordable Prices .. Original Product .. I for Sure Recommend the Seller and the Product .. Thank You Daraz .. 👍\n', 'the reviews are: This phone is awesome. Properly packed, genuine product. fast delivery\n', ""the reviews are: I just received the mobile. There is no charging dock and hand free. I think both things will be there because it's a very costly phone. Rest is okay. A little bit of delivery service is required to be upgrade by Draz\n"", 'the reviews are: This phone is awesome. Properly packed, genuine product. fast delivery\n', 'the reviews are: GOOD Experience. First it was sent by draz through a bike rider but when he came to know price of the shipment he refused to deliver it and hence attempted delivery became unsuccessful on11-11-2023. Later it was delivered next day through delivery van. Thanks to ALMIGHTY ALLAH that I have received it in original condition without any damage. Valuable shipment should be handled and delivered with great care in future.\n', 'the reviews are: very nice and looked authentic 👍 but the delivery time was too late, I have got this after 8 days.\n', 'the reviews are: it is a fantastic item it is awesome item\n', 'the reviews are: Original Product. Fone is Good. Will update my review after using the fone for 7 days\n', 'the reviews are: Good Quality samsung A34 and Best Daraz store\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved'],['Brand: AppleMore Like New Phones from Apple'],"['Rs. 106,999\nRs. 119,000-10%']",['1 Ratings'],['5.0'],[None]
"['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4', 'https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4']","['Honor X5 Dual SIM 2GB RAM 32GB 4G 1Year Official Warranty', None]","['Brand: HonorMore Mobiles from Honor', None]","['Rs. 19,999\nRs. 21,499-7%', None]","['74 Ratings', '84 Answered Questions']",['4.7'],"['the reviews are: Amazing phone within the discounted price of #11.11 I would recommend everyone if you are looking to get the basics done alright and don’t want to spend too much this is the right choice. Quality is not cheap like other phones in this budget. However I do have one complaint as the phone down have a case in the box and no warranty card. #11.11\n', 'the reviews are: i am using this mobile for 5 days now. best mobile for basic tasks like whatsapp call youtube etc. i received it on 11.11 sale at price 15k which is too good deal. everyone appriciate its look. working smooth and battery timing is too good. 👍\n', 'the reviews are: Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.\n', 'the reviews are: Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.\n', 'the reviews are: Many thanks daraz team and same specs as in description and mobile is very well.. Its surprise gift to my mother and she is very happy after getting this 😍\n', 'the reviews are: beautiful cell.. original honor x5 seal peck..\n', 'the reviews are: nice products nice quality fast delivery\n', 'the reviews are: Mashallah bhoot acha phone ha or as price ma bhoot he best ha Thanks bahi Allah pak khouss rhky ap ko🥰\n', 'the reviews are: amazing product timely delivered highly recommend\n']"
"['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4', 'https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4']","['SPARX NEO 7 ULTRA 6+128GB || 6.7"" DISPLAY || 5000mAh BATTERY || OCTA CORE PROCESSOR || FAST CHARGING || PTA APPROVED || ONE YEAR BRAND WARRANTY', None]","['Brand: No BrandMore Mobiles from No Brand', None]","['Rs. 28,999\nRs. 39,000-26%', None]","['84 Ratings', '215 Answered Questions']",['4.5'],"['the reviews are: very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku\n', 'the reviews are: thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya\n', 'the reviews are: #11.11 Wow! What a great mobile. The real thing is that seal pack, original, PTA approved, Under Warranty and all the accessory was included. Really appreciated to honest seller. This was my 1st time order of mobile phone and I was frightened but on receipt of mobile I joy and very very happy to see mobile. specifications are also same as describing.. Thanks seller and DARAZ\n', 'the reviews are: very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku\n', ""the reviews are: it's fantastic very beautiful mobile and seller is very honest\n"", 'the reviews are: use kr ka chk Kiya ha boht acha ha mbl phone delivery time hui ha colour boht pyra ha thanks seller\n', 'the reviews are: wow what a phone im. surprised when i saw this phone infinix has no competetion with spark neo7 ultra its an amazing phone very impressive and build quality in this price range top class specialy camera believe u will be very happy to buy this phone dnt think read my. coment and order it .. thanks for comfortablr and safe service\n', 'the reviews are: It was good experience seller is also cooperative. Recommended person.\n', 'the reviews are: I ordered Blue colour Received Yellow colour...Baki Phone to ok hai market price Sy kafi Sasta Mila...11:11 sale Sy pin pack hi bahja...thank U daraz...Thank u Seller 🥰\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Red 64 GB - PTA Approved'],['Brand: AppleMore Like New Phones from Apple'],"['Rs. 70,999\nRs. 110,000-35%']",['1 Ratings'],['5.0'],"['the reviews are: 97% battery, scratch less, excellent condition, just like new.\n', 'the reviews are: 97% battery, scratch less, excellent condition, just like new.\n', 'the reviews are: 97% battery, scratch less, excellent condition, just like new.\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Like New Phones - Used Apple iPhone X - Space Gray 64 GB - PTA Approved'],['Brand: AppleMore Like New Phones from Apple'],"['Rs. 97,999\nRs. 109,000-10%']",['1 Ratings'],['1.0'],"['the reviews are: Very bad product.. Bettry health is very bad within 2 days bettry health 80 sy 75 ai.. faulty iphone hy...\n', 'the reviews are: Very bad product.. Bettry health is very bad within 2 days bettry health 80 sy 75 ai.. faulty iphone hy...\n', 'the reviews are: Very bad product.. Bettry health is very bad within 2 days bettry health 80 sy 75 ai.. faulty iphone hy...\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Samsung A14 6/128'],['Brand: SamsungMore Mobiles from Samsung'],"['Rs. 53,999\nRs. 64,999-17%']",['104 Ratings'],['4.3'],"['the reviews are: very fast delivery and origional sealed pack mobile I am satisfied\n', 'the reviews are: سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ\n', 'the reviews are: not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful\n', 'the reviews are: Allhamdullilah 🥰 Very Good mobile recieved on time good features but only concern is warranty because seller is not properly guiding about that\n', 'the reviews are: سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ\n', 'the reviews are: Very nice mobile with fast delivery by daraz\n', 'the reviews are: Buhat acha experience hy\n', ""the reviews are: amazing choice of phonenin this price range currently. bcz i used note 20 ultra before this and now using this A14. not big differencebof performance in this price. phone was well packed and new untouched. so don't hesitate to buy samsung A14, 6/128\n"", 'the reviews are: Very satisfied with the delivery time and packaging. This was a gift to my mother and she is really happy\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Samsung A24 8GB+128GB'],['Brand: SamsungMore Mobiles from Samsung'],"['Rs. 72,999\nRs. 79,999-9%']",['92 Ratings'],['4.6'],"['the reviews are: It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services.\n', 'the reviews are: Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.\n', 'the reviews are: Excellent 👌\n', 'the reviews are: Genuine Product ❤️❤️❤️ Thanks Seller 😊🤩🤩 Thanks Daraz 👍👍\n', 'the reviews are: Awesome mobile excellent service by\n', 'the reviews are: ماشاءاللہ جس رنگ میں آرڈر کیا تھا وہی ملا ہے اور موبائل ڈبہ پیک تھا جو اپنے ہاتھ سے کھولا اور آج سے ہی وارنٹی شروع ہوئی، ڈیلیور بھی وقت سے پہلے ہوا۔شکریہ سیلر\n', 'the reviews are: I am very Happy. the phone is great and delivered within 2 days. thanks\n', 'the reviews are: Orginal stuff. Satisfied!\n', 'the reviews are: genuine sealed product, warranty started after i started using it. 1st very good online experience on mobile. always check authentic brand verified from daraz.\n']"
