URL,Title,Brand,Price,Num of Ratings,Scores,Reviews,product_id,Answered Qs
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Redmi 12C 4GB RAM -64GB ROM PTA APPROVED OFFICIAL WARRANTY,Redmi,24999,10,4.5,"delivery was on time, but there was no mobile cover, no hand free also no screen cover found inside the box\n,  good 👍\n,  Everything Ok Original, Fine but Mobile is not delivered with full Safety\n,  good 👍\n,  \n,  \n,  \n,  \n,  \n",fe962bca-8cc7-4b22-be03-42bffad25b3f,0
"https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4, https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4","Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING, None",Redmi,50499,110,3.2,"phone is damaged from edges, pictures uploaded\n,  Same As Described original product found in reasonable price than Market\n,  I ordered phone in black color but they sent me in Green color. After doing so, he stopped seeing my msgs. Such a ridiculous customer service. I’m completely disappointed over this.\n,  #11.11 Ordered grey colour but received green. Green is also a very good colour. Product is very good. The price is also very reasonable as compared to the market.\n,  Same As Described original product found in reasonable price than Market\n,  thanks 👍 good product 👍 colour black kaha tha but green Mila anyway so NYC colour fade\n,  so beautiful so elegant just looking like a waooo😔😔😔\n,  Best purchase of the year so far! great refresh rate and works seamlessly! Hope I can upgrade to the pro version.\n,  Product is good and reasonable. Delayed delivery.\n",364e83c9-2830-4868-9c87-35146b1b2f2d,1
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Samsung A34 - 8GB/256GB - 6.6 inches Display - Android 13 - 5000mAh Battery,Samsung,103499,80,4.9,"#11.11 its my Best Purchase of 11 11 sale on Daraz .. Got a huge Discount of 12k From Daraz and HBL .. Box Pack .. Official PTA Approved .. Genuine Samsung Device .. Honestly i am really Greatful to Daraz for their efforts .. Delivering such Quality Services and Affordable Prices .. Original Product .. I for Sure Recommend the Seller and the Product .. Thank You Daraz .. 👍\n,  This phone is awesome. Properly packed, genuine product. fast delivery\n, "" I just received the mobile. There is no charging dock and hand free. I think both things will be there because its a very costly phone. Rest is okay. A little bit of delivery service is required to be upgrade by Draz\n"",  This phone is awesome. Properly packed, genuine product. fast delivery\n,  GOOD Experience. First it was sent by draz through a bike rider but when he came to know price of the shipment he refused to deliver it and hence attempted delivery became unsuccessful on11-11-2023. Later it was delivered next day through delivery van. Thanks to ALMIGHTY ALLAH that I have received it in original condition without any damage. Valuable shipment should be handled and delivered with great care in future.\n,  very nice and looked authentic 👍 but the delivery time was too late, I have got this after 8 days.\n,  it is a fantastic item it is awesome item\n,  Original Product. Fone is Good. Will update my review after using the fone for 7 days\n,  Good Quality samsung A34 and Best Daraz store\n",27327bb7-8edb-44cf-b462-a3798f4ea6e7,0
https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-256-gb-pta-approved-i435087172-s2088535157.html?spm=a2a0e.searchlist.sku.2.4b404af4x2ZsjH&search=1,Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved,Apple,106999,1,5,None,558f698d-efd5-40b4-be0b-f00632c54687,0
"https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4, https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4","Honor X5 Dual SIM 2GB RAM 32GB 4G 1Year Official Warranty, None",Honor,19999,74,4.7,"Amazing phone within the discounted price of #11.11 I would recommend everyone if you are looking to get the basics done alright and don’t want to spend too much this is the right choice. Quality is not cheap like other phones in this budget. However I do have one complaint as the phone down have a case in the box and no warranty card. #11.11\n,  i am using this mobile for 5 days now. best mobile for basic tasks like whatsapp call youtube etc. i received it on 11.11 sale at price 15k which is too good deal. everyone appriciate its look. working smooth and battery timing is too good. 👍\n,  Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.\n,  Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.\n,  Many thanks daraz team and same specs as in description and mobile is very well.. Its surprise gift to my mother and she is very happy after getting this 😍\n,  beautiful cell.. original honor x5 seal peck..\n,  nice products nice quality fast delivery\n,  Mashallah bhoot acha phone ha or as price ma bhoot he best ha Thanks bahi Allah pak khouss rhky ap ko🥰\n,  amazing product timely delivered highly recommend\n",044931cd-583f-48f3-8f40-723e8838ac62,84
"https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4, https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4","SPARX NEO 7 ULTRA 6+128GB || 6.7"" DISPLAY || 5000mAh BATTERY || OCTA CORE PROCESSOR || FAST CHARGING || PTA APPROVED || ONE YEAR BRAND WARRANTY, None",SPARX,28999,84,4.5,"very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku\n,  thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya\n,  #11.11 Wow! What a great mobile. The real thing is that seal pack, original, PTA approved, Under Warranty and all the accessory was included. Really appreciated to honest seller. This was my 1st time order of mobile phone and I was frightened but on receipt of mobile I joy and very very happy to see mobile. specifications are also same as describing.. Thanks seller and DARAZ\n,  very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku\n, "" its fantastic very beautiful mobile and seller is very honest\n"",  use kr ka chk Kiya ha boht acha ha mbl phone delivery time hui ha colour boht pyra ha thanks seller\n,  wow what a phone im. surprised when i saw this phone infinix has no competetion with spark neo7 ultra its an amazing phone very impressive and build quality in this price range top class specialy camera believe u will be very happy to buy this phone dnt think read my. coment and order it .. thanks for comfortablr and safe service\n,  It was good experience seller is also cooperative. Recommended person.\n,  I ordered Blue colour Received Yellow colour...Baki Phone to ok hai market price Sy kafi Sasta Mila...11:11 sale Sy pin pack hi bahja...thank U daraz...Thank u Seller 🥰\n",e53e932b-391f-4868-92fa-45551363ad8a,215
https://www.daraz.pk/products/like-new-phones-used-apple-iphone-se-2nd-gen-2020-red-64-gb-pta-approved-i434297529-s2082868613.html?spm=a2a0e.searchlist.sku.2.26da955eirhyCn&search=1,Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Red 64 GB - PTA Approved,Apple,70999,1,5,"97% battery, scratch less, excellent condition, just like new.\n,  97% battery, scratch less, excellent condition, just like new.\n,  97% battery, scratch less, excellent condition, just like new.\n",03581fdb-82d5-4277-a41b-32bf6e87786b,0
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Like New Phones - Used Apple iPhone X - Space Gray 64 GB - PTA Approved,Apple,97999,1,1,"Very bad product.. Bettry health is very bad within 2 days bettry health 80 sy 75 ai.. faulty iphone hy...\n,  Very bad product.. Bettry health is very bad within 2 days bettry health 80 sy 75 ai.. faulty iphone hy...\n,  Very bad product.. Bettry health is very bad within 2 days bettry health 80 sy 75 ai.. faulty iphone hy...\n",66416a0f-61b3-45ed-855f-4a5d0eda40e7,0
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Samsung A14 6/128,Samsung,53999,104,4.3,"very fast delivery and origional sealed pack mobile I am satisfied\n,  سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ\n,  not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful\n,  Allhamdullilah 🥰 Very Good mobile recieved on time good features but only concern is warranty because seller is not properly guiding about that\n,  سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ\n,  Very nice mobile with fast delivery by daraz\n,  Buhat acha experience hy\n, "" amazing choice of phonenin this price range currently. bcz i used note 20 ultra before this and now using this A14. not big differencebof performance in this price. phone was well packed and new untouched. so dont hesitate to buy samsung A14, 6/128\n"",  Very satisfied with the delivery time and packaging. This was a gift to my mother and she is really happy\n",81a6885a-0c45-4f74-9be6-684be927ab76,0
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Samsung A24 8GB+128GB,Samsung,72999,92,4.6,"It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services.\n,  Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.\n,  Excellent 👌\n,  Genuine Product ❤️❤️❤️ Thanks Seller 😊🤩🤩 Thanks Daraz 👍👍\n,  Awesome mobile excellent service by\n,  ماشاءاللہ جس رنگ میں آرڈر کیا تھا وہی ملا ہے اور موبائل ڈبہ پیک تھا جو اپنے ہاتھ سے کھولا اور آج سے ہی وارنٹی شروع ہوئی، ڈیلیور بھی وقت سے پہلے ہوا۔شکریہ سیلر\n,  I am very Happy. the phone is great and delivered within 2 days. thanks\n,  Orginal stuff. Satisfied!\n,  genuine sealed product, warranty started after i started using it. 1st very good online experience on mobile. always check authentic brand verified from daraz.\n",294c5021-8d68-425a-bfd1-256a1425fafa,0
